id_agente,save_rate,ncalls,nsaves,ap
586,1.0,16,16,0.33
617,0.9172932330827067,133,122,0.3255395683453237
629,0.945273631840796,201,190,0.7787769784172662
634,0.9333333333333333,45,42,0.5809352517985612
642,0.9256756756756757,148,137,0.4694244604316547
646,1.0,6,6,0.33
648,0.9137931034482759,58,53,0.30035971223021585
654,0.9672131147540983,122,118,0.9118705035971223
664,0.9178082191780822,146,134,0.3327338129496403
669,0.8518518518518519,27,23,0.33
672,0.9373134328358209,335,314,0.6600719424460432
674,0.9076923076923077,65,59,0.2356115107913669
680,1.0,10,10,0.33
693,0.9523809523809523,21,20,0.33
697,0.94,50,47,0.710431654676259
698,0.90625,160,145,0.21762589928057555
700,0.9042553191489362,188,170,0.19244604316546762
703,0.9705882352941176,34,33,0.9406474820143885
705,0.9202898550724637,138,127,0.3723021582733813
710,0.92,25,23,0.33
718,1.0,3,3,0.33
749,0.9550561797752809,267,255,0.85431654676259
762,0.9295774647887324,71,66,0.5197841726618705
786,0.8,10,8,0.33
788,0.9714285714285714,35,34,0.9442446043165468
789,0.9387755102040817,49,46,0.6816546762589928
793,0.8823529411764706,17,15,0.33
798,0.9787234042553191,47,46,0.9766187050359713
807,0.8461538461538461,39,33,0.012589928057553957
827,0.9395973154362416,149,140,0.6960431654676259
831,0.88,25,22,0.33
833,0.9646464646464646,198,191,0.9046762589928058
835,0.8275862068965517,29,24,0.33
849,0.9206349206349206,126,116,0.37949640287769787
854,1.0,8,8,0.33
857,0.9473684210526315,19,18,0.33
865,0.9557522123893806,226,216,0.8651079136690647
870,0.7777777777777778,9,7,0.33
871,0.937007874015748,127,119,0.6564748201438849
874,0.9354838709677419,31,29,0.6348920863309353
879,0.9354838709677419,62,58,0.6241007194244604
881,0.9743589743589743,39,38,0.9550359712230215
884,0.9615384615384616,52,50,0.9010791366906474
889,0.90625,32,29,0.21402877697841727
896,1.0,1,1,0.33
926,0.9565217391304348,23,22,0.33
937,0.9122807017543859,57,52,0.26798561151079137
939,0.9534883720930233,43,41,0.8399280575539568
1013,0.947136563876652,227,215,0.8039568345323741
1015,0.9352941176470588,170,159,0.6205035971223022
1022,0.9107142857142857,56,51,0.25
1031,0.9482758620689655,58,55,0.8111510791366906
1049,0.6666666666666666,9,6,0.33
1058,1.0,6,6,0.33
1066,0.9418604651162791,86,81,0.7284172661870504
1075,1.0,1,1,0.33
1078,0.9021739130434783,92,83,0.14928057553956833
1082,1.0,13,13,0.33
1084,0.9,10,9,0.33
1110,0.9,10,9,0.33
1669,0.9178082191780822,73,67,0.3363309352517986
1752,0.9020979020979021,143,129,0.14568345323741008
1790,1.0,4,4,0.33
1806,1.0,2,2,0.33
1895,0.9411764705882353,51,48,0.7212230215827338
1911,0.9473684210526315,19,18,0.33
2014,0.9420289855072463,138,130,0.7320143884892086
2041,0.9024390243902439,82,74,0.1564748201438849
2129,0.9714285714285714,105,102,0.947841726618705
2180,0.8181818181818182,11,9,0.33
2211,0.9358974358974359,156,146,0.6420863309352518
2214,0.9444444444444444,36,34,0.7571942446043165
2223,0.9134615384615384,104,95,0.28597122302158273
2225,0.9,10,9,0.33
2255,0.9444444444444444,36,34,0.7643884892086331
2263,0.951048951048951,143,136,0.8255395683453237
2264,1.0,3,3,0.33
2269,0.9158415841584159,202,185,0.32194244604316546
2271,1.0,11,11,0.33
2279,1.0,12,12,0.33
2300,0.9565217391304348,23,22,0.33
2326,0.9767441860465116,43,42,0.9658273381294964
2341,1.0,7,7,0.33
2343,0.9026548672566371,113,102,0.1672661870503597
2361,0.9312977099236641,131,122,0.552158273381295
2365,0.9242424242424242,132,122,0.43345323741007197
2370,0.9701492537313433,67,65,0.9370503597122302
2376,0.8888888888888888,18,16,0.33
2381,1.0,7,7,0.33
2383,0.9195402298850575,174,160,0.36510791366906475
2396,1.0,4,4,0.33
2405,0.8518518518518519,27,23,0.33
2413,0.88,25,22,0.33
2430,0.9565217391304348,23,22,0.33
2432,1.0,10,10,0.33
2477,1.0,6,6,0.33
2488,1.0,1,1,0.33
2505,0.9392265193370166,181,170,0.6924460431654677
2507,0.9396551724137931,116,109,0.6996402877697842
2516,0.9256756756756757,148,137,0.4658273381294964
2517,1.0,1,1,0.33
2535,0.88,25,22,0.33
2537,0.935064935064935,154,144,0.6169064748201439
2539,0.9090909090909091,22,20,0.33
2540,1.0,2,2,0.33
2585,0.925,80,74,0.4550359712230216
2591,1.0,9,9,0.33
2594,0.8695652173913043,23,20,0.33
2604,0.9205298013245033,151,139,0.37589928057553956
2620,0.9306930693069307,101,94,0.5413669064748201
2639,0.8571428571428571,7,6,0.33
2669,0.9805825242718447,103,101,0.9802158273381295
2678,0.875,8,7,0.33
2689,0.9487179487179487,39,37,0.8183453237410072
2695,0.8888888888888888,45,40,0.09892086330935251
2697,0.8866666666666667,150,133,0.09172661870503597
2705,0.9230769230769231,156,144,0.40467625899280574
2710,0.8,5,4,0.33
2721,1.0,6,6,0.33
2723,1.0,8,8,0.33
2727,0.9230769230769231,13,12,0.33
2734,0.9439252336448598,107,101,0.7535971223021583
2762,0.9333333333333333,15,14,0.33
2764,0.9210526315789473,38,35,0.3902877697841727
2772,0.9555555555555556,135,129,0.8615107913669064
2775,0.9451219512195121,164,155,0.7751798561151079
2825,0.952755905511811,127,121,0.8327338129496403
2826,1.0,1,1,0.33
2838,0.9075144508670521,173,157,0.23201438848920863
2869,0.9436619718309859,71,67,0.75
2880,0.9230769230769231,143,132,0.40827338129496404
2888,1.0,8,8,0.33
2895,1.0,7,7,0.33
2898,0.9124087591240876,137,125,0.2751798561151079
2901,0.9607843137254902,102,98,0.8938848920863309
2924,1.0,30,30,0.9982014388489209
2940,1.0,8,8,0.33
2941,1.0,19,19,0.33
2946,0.8571428571428571,14,12,0.33
2961,0.9487179487179487,39,37,0.814748201438849
2966,0.967741935483871,31,30,0.9154676258992805
2975,0.9411764705882353,119,112,0.7248201438848921
2986,0.9534883720930233,43,41,0.8435251798561151
2997,1.0,2,2,0.33
