,feature,dtype,dtype2,distinct_count,na_count,na_perc
0,ultimo_ivr_departamento,object,cat,7,0,0.0
1,ultima_categoria_open_question,object,cat,41,0,0.0
2,ultima_subcategoria_open_question,object,cat,186,0,0.0
3,grupo_acd,object,cat,31,0,0.0
4,total_segundos_espera,float64,cont,1896,0,0.0
5,total_segundos_conversacion,int64,cont,1305,0,0.0
6,transferencia,bool,cat,2,0,0.0
7,agentes_involucrados,int64,cont,4,0,0.0
8,es_rellamada_1h,bool,cat,2,0,0.0
9,es_rellamada_24h,bool,cat,2,0,0.0
10,es_rellamada_72h,bool,cat,2,0,0.0
11,es_rellamada_agente_1h,bool,cat,2,0,0.0
12,es_rellamada_agente_24h,bool,cat,2,0,0.0
13,es_rellamada_agente_72h,bool,cat,2,0,0.0
14,ranking,int64,cont,18,0,0.0
15,billing_type_ds,object,cat,2,0,0.0
16,tariff_ds,object,cat,123,0,0.0
17,service_type,object,cat,2,0,0.0
18,line_type_ds,object,cat,4,0,0.0
19,activation_reason_ds,object,cat,4,0,0.0
20,technology_ds,object,cat,3,0,0.0
21,technology_speed_ds,object,cat,8,0,0.0
22,channel_ds,object,cat,17,0,0.0
23,bundle_summary,bool,cat,2,0,0.0
24,LLAMADA_RETEN_1h,object,cat,2,0,0.0
25,LLAMADA_RETEN_24h,object,cat,2,0,0.0
26,LLAMADA_RETEN_72h,object,cat,2,0,0.0
27,llamada_reten_30D,object,cat,2,0,0.0
28,times_retention,float64,cont,23,0,0.0
29,tariff_ds_has_fibra,bool,cat,2,0,0.0
30,tariff_ds_fibra_quota,float64,cont,9,0,0.0
31,client_segment,object,cat,16,0,0.0
32,bpo,object,cat,3,0,0.0
33,ultimo_ivr_departamento_clustered_2,int64,cat,2,0,0.0
34,ultimo_ivr_departamento_clustered_5,int64,cat,5,0,0.0
35,ultima_categoria_open_question_clustered_2,int64,cat,2,0,0.0
36,ultima_categoria_open_question_clustered_5,int64,cat,5,0,0.0
37,ultima_categoria_open_question_clustered_8,int64,cat,8,0,0.0
38,ultima_subcategoria_open_question_clustered_2,int64,cat,2,0,0.0
39,ultima_subcategoria_open_question_clustered_5,int64,cat,5,0,0.0
40,ultima_subcategoria_open_question_clustered_8,int64,cat,8,0,0.0
41,grupo_acd_clustered_2,int64,cat,2,0,0.0
42,grupo_acd_clustered_5,int64,cat,5,0,0.0
43,grupo_acd_clustered_8,int64,cat,8,0,0.0
44,tariff_ds_clustered_2,int64,cat,2,0,0.0
45,tariff_ds_clustered_5,int64,cat,5,0,0.0
46,tariff_ds_clustered_8,int64,cat,8,0,0.0
47,line_type_ds_clustered_2,int64,cat,2,0,0.0
48,activation_reason_ds_clustered_2,int64,cat,2,0,0.0
49,technology_ds_clustered_2,int64,cat,2,0,0.0
50,technology_speed_ds_clustered_2,int64,cat,2,0,0.0
51,technology_speed_ds_clustered_5,int64,cat,5,0,0.0
52,channel_ds_clustered_2,int64,cat,2,0,0.0
53,channel_ds_clustered_5,int64,cat,5,0,0.0
54,channel_ds_clustered_8,int64,cat,8,0,0.0
55,client_segment_clustered_2,int64,cat,2,0,0.0
56,client_segment_clustered_5,int64,cat,5,0,0.0
57,client_segment_clustered_8,int64,cat,8,0,0.0
58,bpo_clustered_2,int64,cat,2,0,0.0
59,total_segundos_espera_transformed,int64,cat,2,0,0.0
60,total_segundos_conversacion_transformed,int64,cat,2,0,0.0
61,ranking_transformed,int64,cat,2,0,0.0
62,tariff_ds_fibra_quota_transformed,int64,cat,2,0,0.0
