"diffgroup","gain","ap_correction","cp_correction","adjusted_gain"
0,NA,NA,NA,NA
1,-0.0227798690784543,-0.0416379272245435,-0.171407912218597,0.190265970364687
2,-0.00503530646467643,-0.0249644875106378,-0.14206822034755,0.161997401393512
3,-0.00605845030666362,-0.0198225898210438,-0.117527620272677,0.131291759787058
4,-0.00701863500736111,-0.0142271756602247,-0.106580589312385,0.113789129965249
5,-0.00870651366489618,-0.0127721406909133,-0.122707639138194,0.126773266164211
6,-0.00846000088070141,-0.0133796064111147,-0.124230038142475,0.129149643672888
7,-0.0108069901381458,-0.017908035941774,-0.129998851009739,0.137099896813368
8,-0.0109547956996508,-0.0166937947994457,-0.134782497615645,0.14052149671544
9,-0.0112605173971059,-0.0183519602929003,-0.138652339516052,0.145743782411846
10,-0.009997291258594,-0.0190465702639163,-0.146279628361447,0.15532890736677
11,-0.0117179941223133,-0.0175034409988842,-0.148182043391083,0.153967490267654
12,-0.00977794327281521,-0.0155265931241444,-0.144671677740616,0.150420327591945
13,-0.010137347281003,-0.0144771006249322,-0.147894201089737,0.152233954433666
14,-0.0109079803602207,-0.0173058822686876,-0.149006164552735,0.155404066461201
15,-0.0114671037174873,-0.0164936967247373,-0.146484450068854,0.151511043076104
16,-0.0127231127699943,-0.0159220757491411,-0.147975762917789,0.151174725896936
17,-0.0104794680826424,-0.0162935891977375,-0.148421305031431,0.154235426146526
18,-0.0106623381723282,-0.0145640980345186,-0.14695123140446,0.15085299126665
19,-0.0104388927012819,-0.0141632095600692,-0.144032924862424,0.147757241721212
20,-0.00956950508136159,-0.0121684094243237,-0.139704610834299,0.142303515177261
21,-0.00940198992312904,-0.0116679046976638,-0.138513802408795,0.14077971718333
22,-0.00953314267911586,-0.0101801771248663,-0.139315601339115,0.139962635784866
23,-0.0094928290085777,-0.0082711126233319,-0.136161987111998,0.134940270726752
24,-0.0106160910573339,-0.00570492069154199,-0.135948054882665,0.131036884516873
25,-0.0112651668298751,-0.00721684510629543,-0.138716340831592,0.134668019108012
26,-0.0103696837518715,-0.00666797247676507,-0.137766517649321,0.134064806374215
27,-0.00911101512259532,-0.00626643223162361,-0.140185276607702,0.137340693716731
28,-0.0091271896470814,-0.00682065282462216,-0.139182045808039,0.13687550898558
29,-0.00988719981415569,-0.00558102376712641,-0.141275522971499,0.13696934692447
30,-0.00926388275088862,-0.00634183749461365,-0.138727081414216,0.135805036157941
31,-0.00960287595186805,-0.00598515618752089,-0.141903763136985,0.138286043372638
32,-0.00991148618557665,-0.00733388202625167,-0.143822051708227,0.141244447548902
33,-0.0100577748111128,-0.00678075928801427,-0.144822923949814,0.141545908426715
34,-0.0102411455279659,-0.00595252273868142,-0.14034304591769,0.136054423128406
35,-0.00974972120844537,-0.00662483996336515,-0.139285446040477,0.136160564795396
36,-0.0101437880899686,-0.00743054972202389,-0.137494384701772,0.134781146333827
37,-0.00991914841347311,-0.00811724763231241,-0.137235466269355,0.135433565488194
38,-0.00944467984960791,-0.00840163273179982,-0.133522391630013,0.132479344512205
39,-0.00948799663165231,-0.0079661873955799,-0.130996122601028,0.129474313364956
40,-0.00885516475553845,-0.00813290578882315,-0.127800007706484,0.127077748739768
41,-0.00938907984653913,-0.00805119078721971,-0.125732616970755,0.124394727911435
42,-0.00917058289482423,-0.00750750289856457,-0.125284748309996,0.123621668313736
43,-0.00881399641090988,-0.00758658707301728,-0.123343021294844,0.122115611956951
44,-0.00892039252757133,-0.00629405727231493,-0.122677255533702,0.120050920278445
45,-0.00892278819328914,-0.00636505840480215,-0.120935424611324,0.118377694822837
46,-0.00882806750047493,-0.00634022695827668,-0.119468996403891,0.116981155861693
47,-0.00862238013571213,-0.00650926138306538,-0.118157495564745,0.116044376812098
48,-0.00892500341619766,-0.00572786601668141,-0.114912416939455,0.111715279539939
49,-0.00879159158742117,-0.00480137818883874,-0.113252273673518,0.109262060274935
50,-0.00865111197138889,-0.00543073961577697,-0.112767978282155,0.109547605926543
51,-0.0087348024574055,-0.00532596813126065,-0.109757590092919,0.106348755766774
52,-0.00869677105051075,-0.00565683787887967,-0.106171383268236,0.103131450096605
53,-0.00809249612583152,-0.00573068109904734,-0.103569596693776,0.101207781666992
54,-0.00788666684273091,-0.0058874815171761,-0.100396169301406,0.098396983975851
55,-0.00738287609531076,-0.00622370836878376,-0.096222148720515,0.095062980993988
56,-0.00677544069914605,-0.00588064333081948,-0.0923207159178494,0.0914259185495228
57,-0.00703812630539978,-0.00608823191372831,-0.08839005972833,0.0874401653366585
58,-0.00649641486013042,-0.00660054316448809,-0.081536691823307,0.0816408201276647
59,-0.0061358097574762,-0.00680451558406755,-0.0775064645275192,0.0781751703541106
60,-0.00564777653545574,-0.0066018897293226,-0.0745239897321414,0.0754781029260083
61,-0.00539150949668259,-0.00683203067059234,-0.0694877436871132,0.070928264861023
62,-0.00513044254060829,-0.00606499506280737,-0.0635803605565431,0.0645149130787422
63,-0.00481811665943425,-0.00642423297222376,-0.0599989392587011,0.0616050555714906
64,-0.00438034173759656,-0.0062956153361357,-0.0583679361973045,0.0602832097958436
65,-0.00423831835094778,-0.00649533739288619,-0.0542807464696099,0.0565377655115483
66,-0.00390404865725909,-0.00563558175072915,-0.0515572829346189,0.053288816028089
67,-0.00367369403640232,-0.00565088708669003,-0.0487157798423435,0.0506929728926312
68,-0.00371336175759004,-0.00526919696187565,-0.0463214522364095,0.0478772874406951
69,-0.00318522885072103,-0.00462304107845767,-0.0433170657556002,0.0447548779833368
70,-0.00305568665239236,-0.00423270109365215,-0.0424425502290468,0.0436195646703066
71,-0.0029154426001726,-0.00413020800096445,-0.0401202550058149,0.0413350204066068
72,-0.00262602139758406,-0.00427169708436306,-0.0367595563609869,0.0384052320477659
73,-0.00273606114601888,-0.00431562229099214,-0.0348030430050804,0.0363826041500536
74,-0.00257530838093589,-0.00424706267918653,-0.0330273049343419,0.0346990592325925
75,-0.00246379952481057,-0.00439656496277396,-0.0322172216414836,0.0341499870794469
76,-0.00215093914489423,-0.00405296709702444,-0.031334446656497,0.0332364746086273
77,-0.00212990951896397,-0.00408610406841267,-0.0304970751345861,0.0324532696840348
78,-0.0021508223662547,-0.00427736939236913,-0.0272743653385358,0.0294009123646503
79,-0.0020069983672439,-0.00402637473150289,-0.025462458362175,0.0274818347264339
80,-0.00191055233859813,-0.00434424264741497,-0.0226998386868079,0.0251335289956247
81,-0.00180742505423259,-0.00416415989253049,-0.0213547584719234,0.0237114933102213
82,-0.0012742330909233,-0.00458872956684965,-0.0191358924319651,0.0224503889078915
83,-0.00112122087605102,-0.00470957825204326,-0.0163797992274865,0.0199681566034787
84,-0.00093544483914923,-0.00460348115057765,-0.0134792994290178,0.0171473357404462
85,-0.0010389695531096,-0.00415085835606148,-0.0121892319520782,0.0153011207550301
86,-0.000720136077788841,-0.00410356750606291,-0.00965515249876671,0.0130385839270408
87,-0.000817772950141946,-0.00368142760415647,-0.0087807365792044,0.0116443912332189
88,-0.000563539481271913,-0.00379011405999465,-0.00665601892441794,0.00988259350314068
89,-0.000292469646389557,-0.00375325176473147,-0.00491191122383599,0.0083726933421779
