,feature,dtype,dtype2,distinct_count,na_count,na_perc
0,ultimo_ivr_departamento,object,cat,6,137,0.002912786494876047
1,ultima_categoria_open_question,object,cat,41,5468,0.11625632521154909
2,ultima_subcategoria_open_question,object,cat,184,8570,0.18220861504443595
3,grupo_acd,object,cat,33,0,0.0
4,total_segundos_espera,float64,cont,1765,8,0.0001700897223285283
5,total_segundos_conversacion,int64,cont,1396,0,0.0
6,transferencia,bool,cat,2,0,0.0
7,agentes_involucrados,int64,cont,6,0,0.0
8,es_rellamada_1h,bool,cat,2,0,0.0
9,es_rellamada_24h,bool,cat,2,0,0.0
10,es_rellamada_48h,bool,cat,2,0,0.0
11,es_rellamada_72h,bool,cat,2,0,0.0
12,es_rellamada_agente_1h,bool,cat,2,0,0.0
13,es_rellamada_agente_24h,bool,cat,2,0,0.0
14,es_rellamada_agente_48h,bool,cat,2,0,0.0
15,es_rellamada_agente_72h,bool,cat,2,0,0.0
16,ranking,int64,cont,28,0,0.0
17,billing_type_ds,object,cat,2,0,0.0
18,tariff_ds,object,cat,122,0,0.0
19,service_type,object,cat,2,0,0.0
20,line_type_ds,object,cat,4,0,0.0
21,activation_reason_ds,object,cat,4,0,0.0
22,deactivation_reason_ds,object,cat,14,42819,0.9103839775481567
23,technology_ds,object,cat,3,0,0.0
24,technology_speed_ds,object,cat,8,0,0.0
25,channel_ds,object,cat,17,0,0.0
26,bundle_summary,bool,cat,2,0,0.0
27,LLAMADA_RETEN_1h,object,cat,2,0,0.0
28,LLAMADA_RETEN_24h,object,cat,2,0,0.0
29,LLAMADA_RETEN_48h,object,cat,2,0,0.0
30,llamada_reten_3D,object,cat,2,0,0.0
31,llamada_reten_4D,object,cat,2,0,0.0
32,llamada_reten_5D,object,cat,2,0,0.0
33,llamada_reten_6D,object,cat,2,0,0.0
34,llamada_reten_7D,object,cat,2,0,0.0
35,times_retention,object,cat,14,0,0.0
36,zip_code,object,cat,5395,0,0.0
37,locality_area,object,cat,5444,0,0.0
38,province,object,cat,53,128,0.0027214355572564527
39,port_in_operator_ds,object,cat,101,19445,0.41342433133477907
40,outcome_baja,object,cat,2,0,0.0
41,client_segment,object,cat,17,0,0.0
42,bpo,object,cat,3,0,0.0
43,tariff_ds_has_fibra,bool,cat,2,0,0.0
44,tariff_ds_fibra_quota,float64,cont,9,0,0.0
