"diffgroup","gain","ap_correction","cp_correction","adjusted_gain"
1,-0.00872963090978293,0.015069170223452,-0.090372219091085,0.0665734179578501
2,-0.00750856342545331,-0.00180917726591911,-0.105046877340903,0.0993474911813684
3,-0.0155995321549525,-0.0132052775574936,-0.115015428433791,0.112621173836332
4,-0.0144037004824965,-0.0113984376775505,-0.122191205529052,0.119185942724106
5,-0.014407473102181,-0.0178453445325333,-0.140670833527444,0.144108704957796
6,-0.0150235837599287,-0.0205318468418532,-0.142670501018815,0.14817876410074
7,-0.0150775263476379,-0.0190511780325081,-0.142650866120528,0.146624517805399
8,-0.0153986713228148,-0.0186692321279956,-0.136780609891538,0.140051170696719
9,-0.0147677367766156,-0.0167995728901395,-0.14127881563113,0.143310651744653
10,-0.0149700294620799,-0.016923577617827,-0.148521598888286,0.150475147044034
11,-0.0136415854451543,-0.0176758709983947,-0.150392991036196,0.154427276589436
12,-0.0117563949000506,-0.0164776582964936,-0.146267601642615,0.150988865039058
13,-0.0115925794516317,-0.0157739481971403,-0.144432578475677,0.148613947221185
14,-0.0118685081771333,-0.0127606817069752,-0.135148031329638,0.13604020485948
15,-0.0116329987766545,-0.0126963357322008,-0.137168999099119,0.138232336054665
16,-0.0116485846873579,-0.0139654931626784,-0.14028414705069,0.14260105552601
17,-0.0107955627856348,-0.0153155928638467,-0.141205140180215,0.145725170258427
18,-0.010652266742318,-0.012851585337572,-0.141405749435734,0.143605068030988
19,-0.00824172470371261,-0.0115274237980958,-0.137351759141421,0.140637458235804
20,-0.00899070305630277,-0.0101010923983735,-0.140888613611671,0.141999002953742
21,-0.00713674109793568,-0.00786783759726534,-0.139915139485113,0.140646235984442
22,-0.00708364763308635,-0.00552345381479517,-0.137517216508256,0.135957022689965
23,-0.00643650945614571,-0.00573377201133766,-0.1383775369813,0.137674799536492
24,-0.00702550585140452,-0.00402780481886293,-0.13752840089575,0.134530699863209
25,-0.00740917267782835,-0.00617678267550022,-0.134528113358254,0.133295723355926
26,-0.00771158450403869,-0.00747136260405954,-0.131965214614345,0.131724992714366
27,-0.00703281371316143,-0.00810799226165713,-0.132988011146202,0.134063189694698
28,-0.00741031970734962,-0.00836744605532019,-0.133314690487305,0.134271816835276
29,-0.00748065960593293,-0.00893580868889075,-0.135277867583506,0.136733016666464
30,-0.0085512284817694,-0.00915796219048003,-0.137365692812206,0.137972426520917
31,-0.00900385646082806,-0.00963719610325404,-0.135838228258705,0.136471567901131
32,-0.00845181826251651,-0.0102775284942178,-0.135577101214415,0.137402811446117
33,-0.00885605125743889,-0.00830019580576018,-0.138049958750817,0.137494103299138
34,-0.00871491859439798,-0.00705084211307614,-0.136285205654288,0.134621129172966
35,-0.00883420772865205,-0.0061601988322014,-0.134449035085165,0.131775026188715
36,-0.00948297652612969,-0.00590012916430813,-0.132045642643063,0.128462795281241
37,-0.00972758519572912,-0.00746642759909773,-0.130800385085215,0.128539227488584
38,-0.00979088193639842,-0.00799083476830606,-0.12867318623791,0.126873139069818
39,-0.0101972982775797,-0.0077502077271749,-0.126844485366819,0.124397394816415
40,-0.0100802180666576,-0.00801497700324185,-0.12809583205562,0.126030590992204
41,-0.0101490761104658,-0.00835884614487479,-0.12724782701938,0.125457597053789
42,-0.00949545871679769,-0.00674062524329881,-0.123664527539889,0.12090969406639
43,-0.00972449805580218,-0.00710849060566112,-0.119945308241961,0.11732930079182
44,-0.00945760580562965,-0.00665641591718696,-0.118695976627093,0.115894786738651
45,-0.0093726008383276,-0.00623495487057054,-0.118418455481299,0.115280809513542
46,-0.00933750817707028,-0.00652091432374261,-0.115320944316333,0.112504350463005
47,-0.00926362891235018,-0.00677688241796848,-0.113538226683805,0.111051480189423
48,-0.00897004672929748,-0.00604450970261299,-0.112106119472011,0.109180582445327
